instance,name,num,seed,initial_ct,final_ct,time,solution_file
41_hes,heskia,41,12,51.0,35,27.543975830078125,solutions/ils/41_hes_ils_seed12.txt
41_hes,heskia,41,13,56.0,35,3.048337936401367,solutions/ils/41_hes_ils_seed13.txt
41_hes,heskia,41,14,52.0,35,15.776483058929443,solutions/ils/41_hes_ils_seed14.txt
42_hes,heskia,42,10,132.0,40,7.761524200439453,solutions/ils/42_hes_ils_seed10.txt
42_hes,heskia,42,11,84.0,40,6.587323904037476,solutions/ils/42_hes_ils_seed11.txt
42_hes,heskia,42,12,245.0,40,8.95057487487793,solutions/ils/42_hes_ils_seed12.txt
42_hes,heskia,42,13,80.0,40,22.03168511390686,solutions/ils/42_hes_ils_seed13.txt
42_hes,heskia,42,14,124.0,40,4.058699131011963,solutions/ils/42_hes_ils_seed14.txt
51_hes,heskia,51,10,211.0,51,4.498841762542725,solutions/ils/51_hes_ils_seed10.txt
51_hes,heskia,51,11,102.0,51,24.528159856796265,solutions/ils/51_hes_ils_seed11.txt
51_hes,heskia,51,12,129.0,51,8.321206092834473,solutions/ils/51_hes_ils_seed12.txt
51_hes,heskia,51,13,60.0,51,1.8899271488189697,solutions/ils/51_hes_ils_seed13.txt
51_hes,heskia,51,14,338.0,51,9.091913938522339,solutions/ils/51_hes_ils_seed14.txt
52_hes,heskia,52,10,180.0,51,36.01201415061951,solutions/ils/52_hes_ils_seed10.txt
52_hes,heskia,52,11,132.0,54,39.06569814682007,solutions/ils/52_hes_ils_seed11.txt
52_hes,heskia,52,12,84.0,51,38.50270175933838,solutions/ils/52_hes_ils_seed12.txt
52_hes,heskia,52,13,71.0,51,37.18656277656555,solutions/ils/52_hes_ils_seed13.txt
52_hes,heskia,52,14,124.0,50,0.08987307548522949,solutions/ils/52_hes_ils_seed14.txt
61_hes,heskia,61,10,139.0,66,11.356282711029053,solutions/ils/61_hes_ils_seed10.txt
61_hes,heskia,61,11,131.0,66,2.198890447616577,solutions/ils/61_hes_ils_seed11.txt
61_hes,heskia,61,12,336.0,66,0.30926990509033203,solutions/ils/61_hes_ils_seed12.txt
61_hes,heskia,61,13,111.0,66,21.980369329452515,solutions/ils/61_hes_ils_seed13.txt
61_hes,heskia,61,14,124.0,66,0.8230810165405273,solutions/ils/61_hes_ils_seed14.txt
62_hes,heskia,62,10,95.0,56,1.4493699073791504,solutions/ils/62_hes_ils_seed10.txt
62_hes,heskia,62,11,240.0,56,9.719956159591675,solutions/ils/62_hes_ils_seed11.txt
62_hes,heskia,62,12,124.0,56,28.718907117843628,solutions/ils/62_hes_ils_seed12.txt
62_hes,heskia,62,13,132.0,56,17.62686586380005,solutions/ils/62_hes_ils_seed13.txt
62_hes,heskia,62,14,240.0,56,1.4599800109863281,solutions/ils/62_hes_ils_seed14.txt
71_hes,heskia,71,10,123.0,91,0.18245887756347656,solutions/ils/71_hes_ils_seed10.txt
71_hes,heskia,71,11,124.0,91,0.1296539306640625,solutions/ils/71_hes_ils_seed11.txt
71_hes,heskia,71,12,136.0,91,0.0856168270111084,solutions/ils/71_hes_ils_seed12.txt
71_hes,heskia,71,13,124.0,91,0.27890467643737793,solutions/ils/71_hes_ils_seed13.txt
71_hes,heskia,71,14,163.0,91,0.18026971817016602,solutions/ils/71_hes_ils_seed14.txt
72_hes,heskia,72,10,121.0,72,51.05577993392944,solutions/ils/72_hes_ils_seed10.txt
72_hes,heskia,72,11,134.0,77,55.9662561416626,solutions/ils/72_hes_ils_seed11.txt
72_hes,heskia,72,12,197.0,65,27.95126175880432,solutions/ils/72_hes_ils_seed12.txt
72_hes,heskia,72,13,146.0,65,28.65834093093872,solutions/ils/72_hes_ils_seed13.txt
72_hes,heskia,72,14,139.0,69,54.131709814071655,solutions/ils/72_hes_ils_seed14.txt
1_ros,roszieg,1,10,83.0,20,0.045989036560058594,solutions/ils/1_ros_ils_seed10.txt
1_ros,roszieg,1,11,83.0,21,5.601844072341919,solutions/ils/1_ros_ils_seed11.txt
1_ros,roszieg,1,12,83.0,20,3.087347984313965,solutions/ils/1_ros_ils_seed12.txt
1_ros,roszieg,1,13,83.0,21,5.556362152099609,solutions/ils/1_ros_ils_seed13.txt
1_ros,roszieg,1,14,83.0,20,0.048665761947631836,solutions/ils/1_ros_ils_seed14.txt
2_ros,roszieg,2,10,41.0,23,8.214563846588135,solutions/ils/2_ros_ils_seed10.txt
2_ros,roszieg,2,11,104.0,23,7.509787082672119,solutions/ils/2_ros_ils_seed11.txt
2_ros,roszieg,2,12,41.0,23,7.762781858444214,solutions/ils/2_ros_ils_seed12.txt
2_ros,roszieg,2,13,40.0,23,7.967966079711914,solutions/ils/2_ros_ils_seed13.txt
2_ros,roszieg,2,14,104.0,22,6.728535175323486,solutions/ils/2_ros_ils_seed14.txt
11_ros,roszieg,11,10,78.0,26,3.8047690391540527,solutions/ils/11_ros_ils_seed10.txt
11_ros,roszieg,11,11,83.0,26,4.614565849304199,solutions/ils/11_ros_ils_seed11.txt
11_ros,roszieg,11,12,78.0,30,3.8728229999542236,solutions/ils/11_ros_ils_seed12.txt
11_ros,roszieg,11,13,78.0,26,5.1506431102752686,solutions/ils/11_ros_ils_seed13.txt
11_ros,roszieg,11,14,83.0,30,1.4232242107391357,solutions/ils/11_ros_ils_seed14.txt
12_ros,roszieg,12,10,35.0,27,0.3386349678039551,solutions/ils/12_ros_ils_seed10.txt
12_ros,roszieg,12,11,92.0,25,5.065733194351196,solutions/ils/12_ros_ils_seed11.txt
12_ros,roszieg,12,12,83.0,25,4.379432916641235,solutions/ils/12_ros_ils_seed12.txt
